program-name,optimization-name,execution-time
bench-prog3.lisp,Constant Propagation and Peephole,852773.9999408368
bench-prog3.lisp,Constant propagation,1124156.299920287
bench-prog3.lisp,Constant propagation and CSE,845590.6001472613
bench-prog3.lisp,Constant propagation and CSE and Peephole,839315.3999350034
bench-prog3.lisp,Constant propagation and Inlining and CSE,830646.6999783879
bench-prog3.lisp,Constant propagation and Inlining and CSE and Peephole,819018.0000383407
bench-prog3.lisp,Constant propagation and Inlining and Peephole,852467.0000042534
bench-prog3.lisp,Constant propagation and inlining,845978.3002763288
bench-prog3.lisp,Inlining,1185203.200293472
bench-prog3.lisp,Inlining and CSE,815560.5002684752
bench-prog3.lisp,Inlining and CSE and Peephole,841659.8000621889
bench-prog3.lisp,Inlining and Peephole,826794.4998806342
bench-prog3.lisp,No optimizations,1241945.0002198573
bench-prog3.lisp,Peephole,825029.2001321213
bench1mke2.lisp,CSE and Peephole,706843.7000270933
bench1mke2.lisp,Common subexpression elimination,694377.4002138525
bench1mke2.lisp,Constant Propagation and Peephole,715315.5998821603
bench1mke2.lisp,Constant propagation,706205.5999995209
bench1mke2.lisp,Constant propagation and CSE,716542.9000451695
bench1mke2.lisp,Constant propagation and CSE and Peephole,706057.2999762371
bench1mke2.lisp,Constant propagation and Inlining and CSE,706116.8998916401
bench1mke2.lisp,Constant propagation and Inlining and CSE and Peephole,820334.5001675189
bench1mke2.lisp,Constant propagation and Inlining and Peephole,705028.9001199417
bench1mke2.lisp,Constant propagation and inlining,742182.7001962811
bench1mke2.lisp,Inlining,695212.600112427
bench1mke2.lisp,Inlining and CSE,746359.000186203
bench1mke2.lisp,Inlining and CSE and Peephole,709508.1997249508
bench1mke2.lisp,Inlining and Peephole,700491.4001299767
bench1mke2.lisp,No optimizations,750415.0999011472
bench1mke2.lisp,Peephole,706074.8001094908
bench2mke2.lisp,CSE and Peephole,736138.9001744101
bench2mke2.lisp,Common subexpression elimination,1028191.2000209559
bench2mke2.lisp,Constant Propagation and Peephole,906869.9000636116
bench2mke2.lisp,Constant propagation,909799.4003241183
bench2mke2.lisp,Constant propagation and CSE,906906.9998076884
bench2mke2.lisp,Constant propagation and CSE and Peephole,708523.9001753507
bench2mke2.lisp,Constant propagation and Inlining and CSE,709088.3998898789
bench2mke2.lisp,Constant propagation and Inlining and CSE and Peephole,690052.400022978
bench2mke2.lisp,Constant propagation and Inlining and Peephole,703026.2000625953
bench2mke2.lisp,Constant propagation and inlining,1193508.7000892963
bench2mke2.lisp,Inlining,889756.900141947
bench2mke2.lisp,Inlining and CSE,1128789.9000308244
bench2mke2.lisp,Inlining and CSE and Peephole,704276.3998470036
bench2mke2.lisp,Inlining and Peephole,718686.7998825619
bench2mke2.lisp,No optimizations,733719.3997955183
bench2mke2.lisp,Peephole,980597.5001654588
bench3mke2.lisp,CSE and Peephole,689310.9999509761
bench3mke2.lisp,Common subexpression elimination,704173.8001134945
bench3mke2.lisp,Constant Propagation and Peephole,717598.8001108635
bench3mke2.lisp,Constant propagation,780343.2999935467
bench3mke2.lisp,Constant propagation and CSE,703367.1998215141
bench3mke2.lisp,Constant propagation and CSE and Peephole,705649.5000142604
bench3mke2.lisp,Constant propagation and Inlining and CSE,702533.1997283502
bench3mke2.lisp,Constant propagation and Inlining and CSE and Peephole,703563.5997453937
bench3mke2.lisp,Constant propagation and Inlining and Peephole,701079.3997324072
bench3mke2.lisp,Constant propagation and inlining,697931.199829327
bench3mke2.lisp,Inlining,710463.499854086
bench3mke2.lisp,Inlining and CSE,712367.9999494925
bench3mke2.lisp,Inlining and CSE and Peephole,711776.4998838538
bench3mke2.lisp,Inlining and Peephole,697441.199736204
bench3mke2.lisp,No optimizations,753910.6001786422
bench3mke2.lisp,Peephole,720447.0999568002
benchmark-1.lisp,CSE and Peephole,698009.2999583576
benchmark-1.lisp,Common subexpression elimination,741647.7001243038
benchmark-1.lisp,Constant Propagation and Peephole,695443.9999390161
benchmark-1.lisp,Constant propagation,832278.4000483807
benchmark-1.lisp,Constant propagation and CSE,700810.5003478704
benchmark-1.lisp,Constant propagation and CSE and Peephole,734583.8999754051
benchmark-1.lisp,Constant propagation and Inlining and CSE,703787.99973696
benchmark-1.lisp,Constant propagation and Inlining and CSE and Peephole,690861.9001478655
benchmark-1.lisp,Constant propagation and Inlining and Peephole,705475.7999867434
benchmark-1.lisp,Constant propagation and inlining,697892.5001021707
benchmark-1.lisp,Inlining,857820.3996876255
benchmark-1.lisp,Inlining and CSE,707155.2998240804
benchmark-1.lisp,Inlining and CSE and Peephole,690706.5999257611
benchmark-1.lisp,Inlining and Peephole,696898.1997488299
benchmark-1.lisp,No optimizations,1131641.2001178833
benchmark-1.lisp,Peephole,685542.9997813189
benchmark-2.lisp,CSE and Peephole,786732.3001846671
benchmark-2.lisp,Common subexpression elimination,704069.0001304029
benchmark-2.lisp,Constant Propagation and Peephole,708400.5999786314
benchmark-2.lisp,Constant propagation,700289.5003097365
benchmark-2.lisp,Constant propagation and CSE,714888.1999455625
benchmark-2.lisp,Constant propagation and CSE and Peephole,710180.5000274908
benchmark-2.lisp,Constant propagation and Inlining and CSE,755716.9003121089
benchmark-2.lisp,Constant propagation and Inlining and CSE and Peephole,689825.0001540873
benchmark-2.lisp,Constant propagation and Inlining and Peephole,823379.099892918
benchmark-2.lisp,Constant propagation and inlining,697687.7000852255
benchmark-2.lisp,Inlining,700166.2997936364
benchmark-2.lisp,Inlining and CSE,725953.9001097437
benchmark-2.lisp,Inlining and CSE and Peephole,701064.999884693
benchmark-2.lisp,Inlining and Peephole,731013.3001737995
benchmark-2.lisp,No optimizations,749753.8001189241
benchmark-2.lisp,Peephole,693451.6997716855
benchmark-3.lisp,CSE and Peephole,740354.6998830279
benchmark-3.lisp,Common subexpression elimination,1099498.8999300404
benchmark-3.lisp,Constant Propagation and Peephole,947135.1000684081
benchmark-3.lisp,Constant propagation,708483.8001901517
benchmark-3.lisp,Constant propagation and CSE,920197.300001746
benchmark-3.lisp,Constant propagation and CSE and Peephole,724161.000107415
benchmark-3.lisp,Constant propagation and Inlining and CSE,708997.3001711769
benchmark-3.lisp,Constant propagation and Inlining and CSE and Peephole,719550.500070909
benchmark-3.lisp,Constant propagation and Inlining and Peephole,711466.7998393998
benchmark-3.lisp,Constant propagation and inlining,1492940.8000170952
benchmark-3.lisp,Inlining,944955.5000173859
benchmark-3.lisp,Inlining and CSE,1087546.1000978248
benchmark-3.lisp,Inlining and CSE and Peephole,721299.6999442112
benchmark-3.lisp,Inlining and Peephole,780562.1997249546
benchmark-3.lisp,No optimizations,750478.1002353411
benchmark-3.lisp,Peephole,1186289.1999044223
benchmark-cse.lisp,CSE and Peephole,738144.199931412
benchmark-cse.lisp,Common subexpression elimination,726999.8997799121
benchmark-cse.lisp,Constant Propagation and Peephole,712353.9999156492
benchmark-cse.lisp,Constant propagation,719594.4999693893
benchmark-cse.lisp,Constant propagation and CSE,724663.4999319213
benchmark-cse.lisp,Constant propagation and CSE and Peephole,719246.9001893187
benchmark-cse.lisp,Constant propagation and Inlining and CSE,706369.3999953102
benchmark-cse.lisp,Constant propagation and Inlining and CSE and Peephole,716250.2999563003
benchmark-cse.lisp,Constant propagation and Inlining and Peephole,713145.500048995
benchmark-cse.lisp,Constant propagation and inlining,714566.5997086326
benchmark-cse.lisp,Inlining,765351.2999240775
benchmark-cse.lisp,Inlining and CSE,714465.3998693684
benchmark-cse.lisp,Inlining and CSE and Peephole,791642.5001894822
benchmark-cse.lisp,Inlining and Peephole,708852.5002473034
benchmark-cse.lisp,No optimizations,742668.6002872884
benchmark-cse.lisp,Peephole,721313.8000224717
benchmark-ex-1.lisp,CSE and Peephole,736492.9999312153
benchmark-ex-1.lisp,Common subexpression elimination,716813.2997321663
benchmark-ex-1.lisp,Constant Propagation and Peephole,746921.500103781
benchmark-ex-1.lisp,Constant propagation,723819.4000819931
benchmark-ex-1.lisp,Constant propagation and CSE,727364.5001987461
benchmark-ex-1.lisp,Constant propagation and CSE and Peephole,714237.5001421897
benchmark-ex-1.lisp,Constant propagation and Inlining and CSE,725582.7000335557
benchmark-ex-1.lisp,Constant propagation and Inlining and CSE and Peephole,740321.6997772688
benchmark-ex-1.lisp,Constant propagation and Inlining and Peephole,716191.7001212714
benchmark-ex-1.lisp,Constant propagation and inlining,731726.6001336975
benchmark-ex-1.lisp,Inlining,730898.100300692
benchmark-ex-1.lisp,Inlining and CSE,759753.400052432
benchmark-ex-1.lisp,Inlining and CSE and Peephole,841664.2998781754
benchmark-ex-1.lisp,Inlining and Peephole,744143.7999659684
benchmark-ex-1.lisp,No optimizations,751217.5001465948
benchmark-ex-1.lisp,Peephole,724649.8997119488
benchmark-ex-2.lisp,CSE and Peephole,713244.7000913089
benchmark-ex-2.lisp,Common subexpression elimination,726932.1999046952
benchmark-ex-2.lisp,Constant Propagation and Peephole,710028.7002685945
benchmark-ex-2.lisp,Constant propagation,716361.9997299975
benchmark-ex-2.lisp,Constant propagation and CSE,711855.1002349705
benchmark-ex-2.lisp,Constant propagation and CSE and Peephole,759812.1002956759
benchmark-ex-2.lisp,Constant propagation and Inlining and CSE,724064.4001285546
benchmark-ex-2.lisp,Constant propagation and Inlining and CSE and Peephole,723675.1000164077
benchmark-ex-2.lisp,Constant propagation and Inlining and Peephole,716674.0997490706
benchmark-ex-2.lisp,Constant propagation and inlining,826769.0001957817
benchmark-ex-2.lisp,Inlining,728188.5002157651
benchmark-ex-2.lisp,Inlining and CSE,716299.8997955583
benchmark-ex-2.lisp,Inlining and CSE and Peephole,716280.9000874404
benchmark-ex-2.lisp,Inlining and Peephole,747702.0000806078
benchmark-ex-2.lisp,No optimizations,759006.6001284868
benchmark-ex-2.lisp,Peephole,727042.400103528
benchmark-ex-3.lisp,CSE and Peephole,723056.0000607511
benchmark-ex-3.lisp,Common subexpression elimination,706349.4002068182
benchmark-ex-3.lisp,Constant Propagation and Peephole,712252.7997125871
benchmark-ex-3.lisp,Constant propagation,710442.4999852199
benchmark-ex-3.lisp,Constant propagation and CSE,737250.999736716
benchmark-ex-3.lisp,Constant propagation and CSE and Peephole,696611.0999201192
benchmark-ex-3.lisp,Constant propagation and Inlining and CSE,860724.8000771506
benchmark-ex-3.lisp,Constant propagation and Inlining and CSE and Peephole,736712.4999291264
benchmark-ex-3.lisp,Constant propagation and Inlining and Peephole,707908.2002746873
benchmark-ex-3.lisp,Constant propagation and inlining,702619.3001365755
benchmark-ex-3.lisp,Inlining,701903.5001576412
benchmark-ex-3.lisp,Inlining and CSE,700478.2997682923
benchmark-ex-3.lisp,Inlining and CSE and Peephole,689605.5998367956
benchmark-ex-3.lisp,Inlining and Peephole,724944.0001032781
benchmark-ex-3.lisp,No optimizations,747630.9001503978
benchmark-ex-3.lisp,Peephole,698021.2998314528
benchmark-fold.lisp,CSE and Peephole,709759.1998899588
benchmark-fold.lisp,Common subexpression elimination,696606.6001041327
benchmark-fold.lisp,Constant Propagation and Peephole,745293.499858235
benchmark-fold.lisp,Constant propagation,697056.3998038415
benchmark-fold.lisp,Constant propagation and CSE,712363.9999917941
benchmark-fold.lisp,Constant propagation and CSE and Peephole,697221.800146508
benchmark-fold.lisp,Constant propagation and Inlining and CSE,707760.4997903109
benchmark-fold.lisp,Constant propagation and Inlining and CSE and Peephole,739797.6998618105
benchmark-fold.lisp,Constant propagation and Inlining and Peephole,708899.6000675252
benchmark-fold.lisp,Constant propagation and inlining,701021.9000221696
benchmark-fold.lisp,Inlining,707828.2000293257
benchmark-fold.lisp,Inlining and CSE,723499.8000058113
benchmark-fold.lisp,Inlining and CSE and Peephole,697150.5998080829
benchmark-fold.lisp,Inlining and Peephole,708741.1999236792
benchmark-fold.lisp,No optimizations,733939.2999710981
